AUTHORISATION ID / PERMIT ID,PRIMARY INDUSTRY ACTIVITY DESCRIPTION,OPERATOR NAME,SITE ADDRESS,SITE POSTCODE,EASTING,NORTHING,EA AREA NAME,ROUTE NAME,SUBSTANCE NAME,REPORTING THRESHOLD (kg),QUANTITY RELEASED (kg),REGULATED INDUSTRY SECTOR,REGULATED INDUSTRY SUB SECTOR,PNEC (??g/L),Latitude,Longitude,REGION,Year,ACTIVITY DESCRIPTION,EA AREA NAME LABEL,ROUTE NAME LABEL,REGULATED INDUSTRY SECTOR LABEL,REGULATED INDUSTRY SUB SECTOR LABEL
CSSV.0382,,THAMES WATER UTILITIES LTD,BEDDINGTON STW,CR0 4TH,529520,166318,"Kent, South London and East Sussex",Controlled Waters,Benzo(a)pyrene,1,1.72,Water Industry,Water Industry,,51.38114354,-0.140267568,London,2016,,,,,
CNTD.0072,,THAMES WATER UTILITIES LTD,DEEPHAMS STW,N9 0BA,535660,193170,Hertfordshire and North London,Controlled Waters,Benzo(a)pyrene,1,3.97,Water Industry,Water Industry,,51.62100913,-0.041776901,London,2016,,,,,
CNTD.0085,,THAMES WATER UTILITIES LTD,MOGDEN STW,TW7 7LP,516800,175900,Hertfordshire and North London,Controlled Waters,Benzo(a)pyrene,1,7.05,Water Industry,Water Industry,,51.47002109,-0.319801422,London,2016,,,,,
CSSA.0362,,THAMES WATER UTILITIES LTD,Crossness Sewage Treatment Works Belvedere Road London Greater London,SE2 9AQ,549100,180670,"Kent, South London and East Sussex",Controlled Waters,Benzo(a)pyrene,1,7.38,Water Industry,Water Industry,,51.50529939,0.146927163,London,2016,,,,,
CSSA.0360,,THAMES WATER UTILITIES LTD,BECKTON STW,IG11 0AD,545470,181670,Hertfordshire and North London,Controlled Waters,Benzo(a)pyrene,1,17,Water Industry,Water Industry,,51.51523004,0.095074299,London,2016,,,,,
EP3136GK,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Veolia ES Landfill Limited,Rainham Landfill Coldharbour Lane Off Ferry Lane Rainham Essex,RM13 9DA,552500,179500,Hertfordshire and North London,Wastewater,Benzo(a)pyrene,1,0,Landfill,Non Hazardous Landfill,,51.49388066,0.195372792,London,2016,,,,,
254/1920,,NORTHUMBRIAN WATER LTD,Wilton Teraphalic Plant Tees Dock Road Middlesbrough Redcar and Cleveland,TS6 6UE,457300,521270,North East,Controlled Waters,Benzo(a)pyrene,1,1.66,Water Industry,Water Industry,,54.5833927,-1.114938888,North East,2016,,,,,
235/1695,,NORTHUMBRIAN WATER LTD,Howdon Sewage Treatment Works Northumberland Dock Road Wallsend Tyne And Wear,NE28 0QD,433340,566290,North East,Controlled Waters,Benzo(a)pyrene,1,3.76,Water Industry,Water Industry,,54.99008932,-1.48048017,North East,2016,,,,,
255/1144,,NORTHUMBRIAN WATER LTD,HENDON STW,SR1 2ES,441049,555891,North East,Controlled Waters,Benzo(a)pyrene,1,0,Water Industry,Water Industry,,54.89607338,-1.361489979,North East,2016,,,,,
HP3530BS,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Thompsons Of Prudhoe Limited,Springwell Quarry Springwell Road Wrekenton Tyne and Wear,NE9 7XW,428400,558600,North East,Wastewater,Benzo(a)pyrene,1,0,Landfill,Non Hazardous Landfill,,54.92129236,-1.558439735,North East,2016,,,,,
TP3735PA,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Stonegrave Aggregates Limited,Aycliffe Quarry Landfill Site Aycliffe Quarry Aycliffe Villiage Darlington County Durham,DL5 6NB,428650,522060,North East,Wastewater,Benzo(a)pyrene,1,0,Landfill,Non Hazardous Landfill,,54.59292068,-1.558127991,North East,2016,,,,,
JP3638HM,"FERROUS METALS; PRODUCING, MELTING OR REFINING",Sahaviriya Steel Industries UK Limited,Teeside Integrated Iron and Steelworks Steel House Redcar Teesside Cleveland,TS10 5QW,457690,524150,North East,Controlled Waters,Benzo(a)pyrene,1,0,Metals,Ferrous,,54.60922717,-1.108340364,North East,2016,,,,,
JP3638HM,"FERROUS METALS; PRODUCING, MELTING OR REFINING",Sahaviriya Steel Industries UK Limited,Teeside Integrated Iron and Steelworks Steel House Redcar Teesside Cleveland,TS10 5QW,457690,524150,North East,Wastewater,Benzo(a)pyrene,1,0,Metals,Ferrous,,54.60922717,-1.108340364,North East,2016,,,,,
MP3136HW,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING PHYSICO-CHEMICAL TREATMENT,CLEANSING SERVICE GROUP LTD,Wilton Waste Treatment Plant Boundary Road West Middlesbrough Cleveland,TS6 8JH,456800,522000,North East,Wastewater,Benzo(a)pyrene,1,0,Waste treatment,Hazardous,,54.59000858,-1.122533213,North East,2016,,,,,
JP3030DD,TAR AND BITUMEN; DISTILLING >5 T/A  IN CONNECTION WITH MANUFACTURE,Industrial Chemicals Limited,Port Clarence Works Huntsman Bridge Port Clarence Middlesbrough Cleveland,TS2 1SD,451200,521300,North East,Controlled Waters,Benzo(a)pyrene,1,0,Chemicals,Chemicals,,54.58431538,-1.209305506,North East,2016,,,,,
25/04/1797,,NORTHUMBRIAN WATER LTD,Stressholme STW,UNKNOWN,428900,510400,North East,Controlled Waters,Benzo(a)pyrene,1,0,Water Industry,Water Industry,,54.48812312,-1.555398971,North East,2016,,,,,
254/1966,,NORTHUMBRIAN WATER LTD,SEATON CAREW STW,,451929,527633,North East,Controlled Waters,Benzo(a)pyrene,1,0,Water Industry,Water Industry,,54.64114858,-1.196907708,North East,2016,,,,,
WP3537ZG,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Octagon Green Solutions Limited,Blaydon Quarry Landfill Lead Road Greenside Blaydon Tyne And Wear,NE21 4SX,416200,562600,North East,Wastewater,Benzo(a)pyrene,1,0,Landfill,Non Hazardous Landfill,,54.95777899,-1.748554312,North East,2016,,,,,
17670049,,UNITED UTILITIES WATER PLC,CARLISLE WILLOWHOLME INDUSTRIAL ESTATE CARLISLE CUMBRIA,CA2 5SH,338470,556520,Cumbria and Lancashire,Controlled Waters,Benzo(a)pyrene,1,1,Water Industry,Water Industry,,54.89959994,-2.960999993,North West,2016,,,,,
