Source.Name,OPERATOR NAME,Employee 2023,Turnover 2023 ?,Employee 2022,Turnover 2022 ?,Employee 2021,Turnover 2021 ?,Employee 2020,Turnover 2020 ?,Employee 2019,Turnover 2019 ?,Employee 2018,Turnover 2018 ?,Employee 2017,Turnover 2017 ?,Employee 2016,Turnover 2016 ?,Source
Benzo_Company_data_16-23.csv,Urbaser Environmental Limited (FCC O&M Services Limited),79,19899000,45,11688000,,9288998,,8438699,43,1278634,,,,,,,https://app.endole.co.uk/company/07888606-fcc-o-m-services-limited?page=financials
Fluoranthene_Company_data_16-23.csv,Valencia Waste Management Limited,150,44604000,777,208388000,,,1703,294964000,1679,314661000,1633,313378000,1645,330025000,1689,359826000,https://app.endole.co.uk/company/00575069-valencia-waste-management-limited?page=financials
Copper_Company_data_16-23.csv,veolia es (uk) limited,9543,1240847000,9103,1155275000,9043,1040201000,9148,935805000,9645,1028965000,9688,998659000,9931,959598000,9548,914003000,https://app.endole.co.uk/company/02481991-veolia-es-uk-limited?page=financials
Copper_Company_data_16-23.csv,veolia es landfill limited,141,134599000,142,140763000,143,165488000,143,159412000,137,170154000,149,171409000,151,159184000,144,146498000,https://app.endole.co.uk/company/00997695-veolia-es-landfill-limited?page=financials
Fluoranthene_Company_data_16-23.csv,Viridor Waste Exeter Limited (Valencia Waste Exeter Limited),,67991000,,74059000,18,27725000,20,31236000,22,39743000,16,35264000,20,44419000,22,51351000,https://app.endole.co.uk/company/01403771-valencia-waste-exeter-limited?page=financials
Benzo_Company_data_16-23.csv,Viridor Waste Management Limited (Viridor Limited),1014,672100000,1856,556100000,2733,720600000,2899,731900000,3426,802300000,3412,733900000,3153,728000000,3230,750000000,https://app.endole.co.uk/company/02456473-viridor-limited?page=financials
Cypermethrin_Company_data_16-23.csv,W.T.Johnson and Sons (Huddersfield) Ltd,111,7442934,93,5759208,102,3739467,133,7089634,145,8250427,135,7365290,135,6995857,125,7338562,https://app.endole.co.uk/company/00531016-w-t-johnson-sons-huddersfield-limited?page=financials
Benzo_Company_data_16-23.csv,Wessex Water (Wessex Water Services Limited),2691,541800000,2542,517800000,2502,516900000,2552,540800000,2442,556000000,2308,541600000,2151,531100000,2012,521800000,https://app.endole.co.uk/company/02366648-wessex-water-services-limited?page=financials
Cypermethrin_Company_data_16-23.csv,Westex (Carpets) Limited,77,22862000,81,23784000,127,16947000,177,19494000,193,19734000,197,19533000,206,19574000,212,18747000,https://app.endole.co.uk/company/01480813-westex-carpets-limited?page=financials
Cypermethrin_Company_data_16-23.csv,WHITAKER FIBRES LTD (Haworth Scouring Company Limited),57,10029000,59,7956228,49,7468922,53,5770026,64,7036782,62,6902949,65,7479000,58,6690127,https://app.endole.co.uk/company/01029047-haworth-scouring-company-limited?page=financials
Cypermethrin_Company_data_16-23.csv,Wooltex UK Limited (Wooltex U.K. Limited),173,19490000,158,23159000,121,24828000,128,18801000,135,30783000,124,25887000,115,22803000,103,22658000,https://app.endole.co.uk/company/04047701-wooltex-u-k-limited?page=financials
Copper_Company_data_16-23.csv,Yorkshire Water Services Limited,3804,1144700000,3931,1118500000,3707,1101100000,3312,1063400000,2888,1059200000,2681,1026700000,2605,1003100000,2323,975800000,https://app.endole.co.uk/company/02366682-yorkshire-water-services-limited?page=financials
