AUTHORISATION ID / PERMIT ID,PRIMARY INDUSTRY ACTIVITY DESCRIPTION,OPERATOR NAME,SITE ADDRESS,SITE POSTCODE,EASTING,NORTHING,EA AREA NAME,ROUTE NAME,SUBSTANCE NAME,REPORTING THRESHOLD (kg),QUANTITY RELEASED (kg),REGULATED INDUSTRY SECTOR,REGULATED INDUSTRY SUB SECTOR,PNEC (??g/L),Latitude,Longitude,REGION
AW2TSE9961-2,,Anglian Water,Chelmsford(Brookend) STW,,584000,208200,East Anglia,Controlled Waters,Fluoranthene,0.1,0.1,Water Industry,Water Industry,,51.74228839,0.663708692,East of England
AW1NF2460,,Anglian Water,Bedford STW,,508500,249600,East Anglia,Controlled Waters,Fluoranthene,0.1,0.12,Water Industry,Water Industry,,52.13405864,-0.416204867,East of England
ASCNF1033,,Anglian Water,Cambridge STW,,548350,261540,East Anglia,Controlled Waters,Fluoranthene,0.1,0.14,Water Industry,Water Industry,,52.23207646,0.170841174,East of England
CNTD.0084,,THAMES WATER UTILITIES LTD,LUTON STW,LU1 5TS,512300,217800,Hertfordshire and North London,Controlled Waters,Fluoranthene,0.1,0.14,Water Industry,Water Industry,,51.8475121,-0.371113535,East of England
AW5NF5178,,Anglian Water,Flag Fen STW,,522140,298140,Lincolnshire and Northamptonshire,Controlled Waters,Fluoranthene,0.1,0.18,Water Industry,Water Industry,,52.56738396,-0.199381261,East of England
AW4TF1789,,Anglian Water,Whitlingham(Norwich) STW,,627800,307700,East Anglia,Controlled Waters,Fluoranthene,0.1,0.21,Water Industry,Water Industry,,52.61924889,1.363855621,East of England
CASM.0340,,Anglian Water,SOUTHEND ON SEA STW,,581900,190600,East Anglia,Controlled Waters,Fluoranthene,0.1,0.26,Water Industry,Water Industry,,51.58489477,0.624173135,East of England
CLCR.0048,,THAMES WATER UTILITIES LTD,Rye Meads Combined Heat And Power Plant Off Rye Road Stanstead Abbotts Hertfordshire,SG12 8JY,539260,210400,Hertfordshire and North London,Controlled Waters,Fluoranthene,0.1,0.27,Water Industry,Water Industry,,51.77495262,0.017064529,East of England
CNTD.0071,,THAMES WATER UTILITIES LTD,MAPLE LODGE STW,WD3 9SQ,504200,192000,Hertfordshire and North London,Controlled Waters,Fluoranthene,0.1,0.45,Water Industry,Water Industry,,51.61719086,-0.496372735,East of England
AW5NF5178,,Anglian Water,Flag Fen STW,,522140,298140,Lincolnshire and Northamptonshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,1.03,Water Industry,Water Industry,,52.56738396,-0.199381261,East of England
CASM.0340,,Anglian Water,SOUTHEND ON SEA STW,,581900,190600,East Anglia,Controlled Waters,Benzo(a)pyrene,1,1.15,Water Industry,Water Industry,,51.58489477,0.624173135,East of England
CLCR.0048,,THAMES WATER UTILITIES LTD,Rye Meads Combined Heat And Power Plant Off Rye Road Stanstead Abbotts Hertfordshire,SG12 8JY,539260,210400,Hertfordshire and North London,Controlled Waters,Benzo(a)pyrene,1,1.2,Water Industry,Water Industry,,51.77495262,0.017064529,East of England
AW4TF1789,,Anglian Water,Whitlingham(Norwich) STW,,627800,307700,East Anglia,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,1.21,Water Industry,Water Industry,,52.61924889,1.363855621,East of England
CASM.0340,,Anglian Water,SOUTHEND ON SEA STW,,581900,190600,East Anglia,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,1.48,Water Industry,Water Industry,,51.58489477,0.624173135,East of England
CLCR.0048,,THAMES WATER UTILITIES LTD,Rye Meads Combined Heat And Power Plant Off Rye Road Stanstead Abbotts Hertfordshire,SG12 8JY,539260,210400,Hertfordshire and North London,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,1.55,Water Industry,Water Industry,,51.77495262,0.017064529,East of England
CNTD.0071,,THAMES WATER UTILITIES LTD,MAPLE LODGE STW,WD3 9SQ,504200,192000,Hertfordshire and North London,Controlled Waters,Benzo(a)pyrene,1,1.97,Water Industry,Water Industry,,51.61719086,-0.496372735,East of England
