AUTHORISATION ID / PERMIT ID,ACTIVITY DESCRIPTION,OPERATOR NAME,SITE ADDRESS,SITE POSTCODE,EASTING,NORTHING,EA AREA NAME,ROUTE NAME,SUBSTANCE NAME,REPORTING THRESHOLD (kg),QUANTITY RELEASED (kg),REGULATED INDUSTRY SECTOR,REGULATED INDUSTRY SUB SECTOR,PNEC (µg/L)
016940143,,UNITED UTILITIES WATER PLC,DAVYHULME,,374800.0,396460.0,Greater Manchester Merseyside and Cheshire,Controlled Waters,Fluoranthene,0.1,0.78,Water Industry,Water Industry,
016940143,,UNITED UTILITIES WATER PLC,DAVYHULME,,374800.0,396460.0,Greater Manchester Merseyside and Cheshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,4.44,Water Industry,Water Industry,
016940143,,UNITED UTILITIES WATER PLC,DAVYHULME,,374800.0,396460.0,Greater Manchester Merseyside and Cheshire,Controlled Waters,Benzo(a)pyrene,1.0,3.43,Water Industry,Water Industry,
016920130,,UNITED UTILITIES WATER PLC,ST HELENS,,353820.0,395900.0,Greater Manchester Merseyside and Cheshire,Controlled Waters,Fluoranthene,0.1,0.16,Water Industry,Water Industry,
016920130,,UNITED UTILITIES WATER PLC,ST HELENS,,353820.0,395900.0,Greater Manchester Merseyside and Cheshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,0.0,Water Industry,Water Industry,
016920130,,UNITED UTILITIES WATER PLC,ST HELENS,,353820.0,395900.0,Greater Manchester Merseyside and Cheshire,Controlled Waters,Benzo(a)pyrene,1.0,0.0,Water Industry,Water Industry,
016810068,,UNITED UTILITIES WATER PLC,CREWE,,366690.0,357370.0,Greater Manchester Merseyside and Cheshire,Controlled Waters,Fluoranthene,0.1,0.0,Water Industry,Water Industry,
016810068,,UNITED UTILITIES WATER PLC,CREWE,,366690.0,357370.0,Greater Manchester Merseyside and Cheshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,0.0,Water Industry,Water Industry,
016810068,,UNITED UTILITIES WATER PLC,CREWE,,366690.0,357370.0,Greater Manchester Merseyside and Cheshire,Controlled Waters,Benzo(a)pyrene,1.0,0.0,Water Industry,Water Industry,
016810030,,UNITED UTILITIES WATER PLC,ELLESMERE PORT,,343200.0,374650.0,Greater Manchester Merseyside and Cheshire,Controlled Waters,Fluoranthene,0.1,0.0,Water Industry,Water Industry,
016810030,,UNITED UTILITIES WATER PLC,ELLESMERE PORT,,343200.0,374650.0,Greater Manchester Merseyside and Cheshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,0.0,Water Industry,Water Industry,
016810030,,UNITED UTILITIES WATER PLC,ELLESMERE PORT,,343200.0,374650.0,Greater Manchester Merseyside and Cheshire,Controlled Waters,Benzo(a)pyrene,1.0,0.0,Water Industry,Water Industry,
200976,,SOUTH WEST WATER LTD,Brokenbury STW (TORBAY),TQ5 0LL,289750.0,56310.0,"Devon, Cornwall and the Isles of Scilly",Controlled Waters,Fluoranthene,0.1,0.15,Water Industry,Water Industry,
200976,,SOUTH WEST WATER LTD,Brokenbury STW (TORBAY),TQ5 0LL,289750.0,56310.0,"Devon, Cornwall and the Isles of Scilly",Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,0.0,Water Industry,Water Industry,
200976,,SOUTH WEST WATER LTD,Brokenbury STW (TORBAY),TQ5 0LL,289750.0,56310.0,"Devon, Cornwall and the Isles of Scilly",Controlled Waters,Benzo(a)pyrene,1.0,0.0,Water Industry,Water Industry,
010005,,Wessex Water,BATH (SALTFORD) STW,BS31 3ER,368900.0,168800.0,Wessex,Controlled Waters,Fluoranthene,0.1,0.1,Water Industry,Water Industry,
