AUTHORISATION ID / PERMIT ID,ACTIVITY DESCRIPTION,OPERATOR NAME,SITE ADDRESS,SITE POSTCODE,EASTING,NORTHING,EA AREA NAME,ROUTE NAME,SUBSTANCE NAME,REPORTING THRESHOLD (kg),QUANTITY RELEASED (kg),REGULATED INDUSTRY SECTOR,REGULATED INDUSTRY SUB SECTOR,EA AREA NAME LABEL,ROUTE NAME LABEL,REGULATED INDUSTRY SECTOR LABEL,REGULATED INDUSTRY SUB SECTOR LABEL,PNEC (µg/L),Latitude,Longitude,REGION
FP3599LH,DISPOSAL OR RECOVERY OF HAZ WASTE WITH CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING BLENDING OR MIXING PRIOR TO SUBMISSION TO ANY OF THE OTHER ACTIVITIES LISTED IN THIS SECTION OR IN SECTION 5.1,BKP Waste & Recycling Limited,BKP Hazardous Waste Transfer and Treatment Station Unit 8 Casbrook Park Bunny Lane Timsbury Hampshire,SO51 0PG,436000.0,124880.0,Solent and South Downs,Wastewater,Benzo(a)pyrene,1.0,0.0,Waste Treatment,Hazardous Waste,9,3,14,9,,51.022170874295036,-1.4881011795767993,South East
FP3599LH,DISPOSAL OR RECOVERY OF HAZ WASTE WITH CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING BLENDING OR MIXING PRIOR TO SUBMISSION TO ANY OF THE OTHER ACTIVITIES LISTED IN THIS SECTION OR IN SECTION 5.1,BKP Waste & Recycling Limited,BKP Hazardous Waste Transfer and Treatment Station Unit 8 Casbrook Park Bunny Lane Timsbury Hampshire,SO51 0PG,436000.0,124880.0,Solent and South Downs,Wastewater,Cypermethrin,0.005,0.0,Waste Treatment,Hazardous Waste,9,3,14,9,1.3e-05,51.022170874295036,-1.4881011795767993,South East
FP3599LH,DISPOSAL OR RECOVERY OF HAZ WASTE WITH CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING BLENDING OR MIXING PRIOR TO SUBMISSION TO ANY OF THE OTHER ACTIVITIES LISTED IN THIS SECTION OR IN SECTION 5.1,BKP Waste & Recycling Limited,BKP Hazardous Waste Transfer and Treatment Station Unit 8 Casbrook Park Bunny Lane Timsbury Hampshire,SO51 0PG,436000.0,124880.0,Solent and South Downs,Wastewater,Fluoranthene,0.1,0.0,Waste Treatment,Hazardous Waste,9,3,14,9,,51.022170874295036,-1.4881011795767993,South East
FP3599LH,DISPOSAL OR RECOVERY OF HAZ WASTE WITH CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING BLENDING OR MIXING PRIOR TO SUBMISSION TO ANY OF THE OTHER ACTIVITIES LISTED IN THIS SECTION OR IN SECTION 5.1,BKP Waste & Recycling Limited,BKP Hazardous Waste Transfer and Treatment Station Unit 8 Casbrook Park Bunny Lane Timsbury Hampshire,SO51 0PG,436000.0,124880.0,Solent and South Downs,Wastewater,Heptachlor,0.1,0.0,Waste Treatment,Hazardous Waste,9,3,14,9,,51.022170874295036,-1.4881011795767993,South East
BU5500IC,"TEMPORARY STORAGE OF HAZ WASTE NOT UNDER S 5.2 PENDING ACTIVITIES LISTED IN S 5.1, 5.2, 5.3 AND PARAGRAPH (B) OF THIS SECTION WITH A TOTAL CAPACITY > 50 TONNES, EXCL TEMP STORAGE WHERE GENERATED",Veolia ES Cleanaway (UK) Limited,Preston Waste Management Centre Units 4 and 5 Redscar Industrial Estate Longridge Road,PR2 5NQ,357500.0,431800.0,Cumbria and Lancashire,Wastewater,Heptachlor,0.1,0.0,Waste Treatment,Hazardous Waste,0,3,14,9,,53.78078238033476,-2.646446137113076,North West
VP3838LP,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING PHYSICO-CHEMICAL TREATMENT,Oikos Storage Limited,"Hole Haven Wharf,Oikos Stoarge Ltd Haven Road Essex",SS8 0NR,577850.0,182090.0,East Anglia,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,0.0,Waste Treatment,Hazardous Waste,2,1,14,9,,51.509746369185514,0.5614803064348728,East of England
VP3838LP,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING PHYSICO-CHEMICAL TREATMENT,Oikos Storage Limited,"Hole Haven Wharf,Oikos Stoarge Ltd Haven Road Essex",SS8 0NR,577850.0,182090.0,East Anglia,Wastewater,"Indeno(1,2,3-cd)pyrene",1.0,0.0,Waste Treatment,Hazardous Waste,2,3,14,9,,51.509746369185514,0.5614803064348728,East of England
VP3838LP,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING PHYSICO-CHEMICAL TREATMENT,Oikos Storage Limited,"Hole Haven Wharf,Oikos Stoarge Ltd Haven Road Essex",SS8 0NR,577850.0,182090.0,East Anglia,Controlled Waters,Fluoranthene,0.1,0.0,Waste Treatment,Hazardous Waste,2,1,14,9,,51.509746369185514,0.5614803064348728,East of England
VP3838LP,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING PHYSICO-CHEMICAL TREATMENT,Oikos Storage Limited,"Hole Haven Wharf,Oikos Stoarge Ltd Haven Road Essex",SS8 0NR,577850.0,182090.0,East Anglia,Controlled Waters,Heptachlor,0.1,0.0,Waste Treatment,Hazardous Waste,2,1,14,9,,51.509746369185514,0.5614803064348728,East of England
VP3838LP,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING PHYSICO-CHEMICAL TREATMENT,Oikos Storage Limited,"Hole Haven Wharf,Oikos Stoarge Ltd Haven Road Essex",SS8 0NR,577850.0,182090.0,East Anglia,Controlled Waters,Benzo(a)pyrene,1.0,0.0,Waste Treatment,Hazardous Waste,2,1,14,9,,51.509746369185514,0.5614803064348728,East of England
VP3838LP,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING PHYSICO-CHEMICAL TREATMENT,Oikos Storage Limited,"Hole Haven Wharf,Oikos Stoarge Ltd Haven Road Essex",SS8 0NR,577850.0,182090.0,East Anglia,Wastewater,Benzo(a)pyrene,1.0,0.0,Waste Treatment,Hazardous Waste,2,3,14,9,,51.509746369185514,0.5614803064348728,East of England
VP3838LP,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING PHYSICO-CHEMICAL TREATMENT,Oikos Storage Limited,"Hole Haven Wharf,Oikos Stoarge Ltd Haven Road Essex",SS8 0NR,577850.0,182090.0,East Anglia,Wastewater,Cypermethrin,0.005,0.0,Waste Treatment,Hazardous Waste,2,3,14,9,1.3e-05,51.509746369185514,0.5614803064348728,East of England
VP3838LP,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING PHYSICO-CHEMICAL TREATMENT,Oikos Storage Limited,"Hole Haven Wharf,Oikos Stoarge Ltd Haven Road Essex",SS8 0NR,577850.0,182090.0,East Anglia,Controlled Waters,Cypermethrin,0.005,0.0,Waste Treatment,Hazardous Waste,2,1,14,9,1.3e-05,51.509746369185514,0.5614803064348728,East of England
VP3838LP,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING PHYSICO-CHEMICAL TREATMENT,Oikos Storage Limited,"Hole Haven Wharf,Oikos Stoarge Ltd Haven Road Essex",SS8 0NR,577850.0,182090.0,East Anglia,Wastewater,Fluoranthene,0.1,0.0,Waste Treatment,Hazardous Waste,2,3,14,9,,51.509746369185514,0.5614803064348728,East of England
VP3838LP,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING PHYSICO-CHEMICAL TREATMENT,Oikos Storage Limited,"Hole Haven Wharf,Oikos Stoarge Ltd Haven Road Essex",SS8 0NR,577850.0,182090.0,East Anglia,Wastewater,Heptachlor,0.1,0.0,Waste Treatment,Hazardous Waste,2,3,14,9,,51.509746369185514,0.5614803064348728,East of England
